"498-52-4970","Gary Cross","5790390687","711 Golden Overpass
West Andreaville, MA 71317","tamaramorrison@hotmail.com","Robert Stewart","1817670926","shannon51@yahoo.com","parent"
"814-22-5449","Russell Jones","2028283729","91634 Strong Mountains Apt. 302
West Alyssa, PA 58475","alexandermaldonado@hotmail.com","James Sandoval","8032576879","smithjames@yahoo.com","sister"
"582-54-0767","Clarence Alvarez","5599321062","42851 Joshua Brook Apt. 034
Staceyshire, AZ 98691","djoseph@hotmail.com","Christopher Bennett","6705953020","sarahparker@hotmail.com","sister"
"486-44-5631","Daniel Duarte","1169289719","731 Sanders Fords
Port Jasonberg, ID 60585","jward@gmail.com","Jared Frazier","1966757007","jennifer71@gmail.com","parent"
"339-21-2439","Tommy Turner","5012743224","45007 Thomas Way
Lake Hollystad, AZ 80687","dhughes@gmail.com","Linda Anderson","7383030514","mwatson@yahoo.com","parent"
"795-81-8232","Melissa Cantu","2895357849","420 Michael Mountains Suite 485
New Victoria, ND 76634","eric22@gmail.com","Catherine Watson","6890962438","aortiz@hotmail.com","sister"
"115-72-9922","Stacey Williams","8495618558","4391 Chad Greens Suite 851
Port Frank, LA 37561","audreyburton@hotmail.com","Joshua Figueroa","3667785436","trevor07@yahoo.com","parent"
"867-68-1089","Michelle Warren","1225714774","7633 Bentley Radial Apt. 603
Port Jacobton, SC 89301","jesseevans@gmail.com","Stephen Jenkins","2502389172","rlewis@gmail.com","brother"
"697-29-9972","Kristen Smith","1071117895","PSC 6777, Box 1113
APO AE 20659","nhenson@yahoo.com","Kristin Tanner","4057615814","qherrera@yahoo.com","friend"
"676-01-8775","Stephanie Rodriguez","5905088714","82778 Padilla Common
Derrickfurt, ID 41974","patrick03@gmail.com","Jessica Swanson","2339822929","ntaylor@yahoo.com","brother"
"547-69-7581","Oscar Bennett","5952336950","85265 Pratt Lock Apt. 484
Maddenside, OH 34900","bryantjennifer@yahoo.com","Don Forbes","4522217328","brendacortez@hotmail.com","uncle"
"301-42-8108","Justin Branch","2407727203","296 Marshall Camp
Fieldsbury, AK 47978","erinmccoy@hotmail.com","Nicolas Duncan","2318637093","reillycynthia@yahoo.com","sister"
"447-82-6378","Kyle Powell","5874256411","080 Herring Key Apt. 182
Jamesview, UT 93388","kimberly87@gmail.com","Andrew Richards","9835454432","lisaboyd@hotmail.com","parent"
"107-55-9954","Jared Vaughn","9614145821","1086 Johnson Path Apt. 155
South Tammyberg, NC 82490","susan06@yahoo.com","Peggy Moore","4442785495","paultownsend@gmail.com","friend"
"004-05-0774","Frank Yates","3256161481","66617 Martin Junctions Suite 629
Kathleenville, MI 19204","katie80@gmail.com","Erika James","8812470704","garyclark@gmail.com","brother"
"822-53-4289","Heidi Sharp","6435395261","732 Kimberly Pass Apt. 028
Franklinborough, VT 90110","lbaker@gmail.com","Krystal Hendricks","5771164034","along@hotmail.com","friend"
"843-86-2242","Sean Perez","1019356259","417 Martinez Drives Suite 325
Perezfurt, NH 67810","kwhitney@hotmail.com","John Edwards","1856270134","hallbradley@yahoo.com","sister"
"867-54-1095","Kathryn Hansen","9423008385","526 Bennett Port Suite 373
Timothychester, NV 95320","transusan@yahoo.com","John Thomas","3237300109","robertlee@yahoo.com","brother"
